file,category,physical_id,capture_condition,is_anomaly,image_score,image_detected,tp,fp,fn,tn,dice,iou,precision,recall
N11_B1_51,normal,N11,B1,0,0.018964743241667747,0,0,51,0,50125,0.0,0.0,0.0,
N11_B2_53,normal,N11,B2,0,0.016909636557102203,0,0,25,0,50151,0.0,0.0,0.0,
N11_B3_55,normal,N11,B3,0,0.020518692210316658,0,0,90,0,50086,0.0,0.0,0.0,
N11_B4_57,normal,N11,B4,0,0.01486214529722929,0,0,19,0,50157,0.0,0.0,0.0,
N11_B5_59,normal,N11,B5,0,0.031024117022752762,1,0,507,0,49669,0.0,0.0,0.0,
N12_B1_52,normal,N12,B1,0,0.016384243965148926,0,0,60,0,50116,0.0,0.0,0.0,
N12_B2_54,normal,N12,B2,0,0.020350435748696327,0,0,73,0,50103,0.0,0.0,0.0,
N12_B3_56,normal,N12,B3,0,0.021418962627649307,0,0,109,0,50067,0.0,0.0,0.0,
N12_B4_58,normal,N12,B4,0,0.022455992177128792,0,0,117,0,50059,0.0,0.0,0.0,
N12_B5_60,normal,N12,B5,0,0.02711550146341324,0,0,354,0,49822,0.0,0.0,0.0,
M01_B1_091,missing_print,M01,B1,1,0.01580079086124897,0,0,36,6240,43900,0.0,0.0,0.0,0.0
M01_B2_094,missing_print,M01,B2,1,0.015512881800532341,0,0,15,6240,43921,0.0,0.0,0.0,0.0
M01_B3_097,missing_print,M01,B3,1,0.012857336550951004,0,0,5,6240,43931,0.0,0.0,0.0,0.0
M01_B4_100,missing_print,M01,B4,1,0.01418420672416687,0,0,13,6240,43923,0.0,0.0,0.0,0.0
M01_B5_103,missing_print,M01,B5,1,0.016070833429694176,0,26,5,6214,43931,0.00829213841492585,0.004163330664531626,0.8387096774193549,0.004166666666666667
M02_B1_092,missing_print,M02,B1,1,0.01977546140551567,0,0,91,1776,48309,0.0,0.0,0.0,0.0
M02_B2_095,missing_print,M02,B2,1,0.01753605529665947,0,0,40,1776,48360,0.0,0.0,0.0,0.0
M02_B3_098,missing_print,M02,B3,1,0.01356634870171547,0,0,8,1776,48392,0.0,0.0,0.0,0.0
M02_B4_101,missing_print,M02,B4,1,0.014713305048644543,0,0,4,1776,48396,0.0,0.0,0.0,0.0
M02_B5_104,missing_print,M02,B5,1,0.017804117873311043,0,1,21,1775,48379,0.0011123470522803114,0.0005564830272676684,0.045454545454545456,0.0005630630630630631
M03_B1_093,missing_print,M03,B1,1,0.018162963911890984,0,1,32,1565,48578,0.0012507817385866166,0.0006257822277847309,0.030303030303030304,0.0006385696040868455
M03_B2_096,missing_print,M03,B2,1,0.016359549015760422,0,0,24,1566,48586,0.0,0.0,0.0,0.0
M03_B3_099,missing_print,M03,B3,1,0.011950531043112278,0,0,0,1566,48610,0.0,0.0,,0.0
M03_B4_102,missing_print,M03,B4,1,0.015473205596208572,0,0,4,1566,48606,0.0,0.0,0.0,0.0
M03_B5_105,missing_print,M03,B5,1,0.02328615076839924,0,0,147,1566,48463,0.0,0.0,0.0,0.0
S01_B1_061,smudge,S01,B1,1,0.01687229983508587,0,0,50,336,49790,0.0,0.0,0.0,0.0
S01_B2_64,smudge,S01,B2,1,0.02182740531861782,0,0,111,349,49716,0.0,0.0,0.0,0.0
S01_B3_067,smudge,S01,B3,1,0.021638095378875732,0,0,127,369,49680,0.0,0.0,0.0,0.0
S01_B4_070,smudge,S01,B4,1,0.02583719789981842,0,4,195,363,49614,0.014134275618374558,0.0071174377224199285,0.020100502512562814,0.010899182561307902
S01_B5_073,smudge,S01,B5,1,0.02882431447505951,0,4,254,416,49502,0.011799410029498525,0.005934718100890208,0.015503875968992248,0.009523809523809525
S02_B1_62,smudge,S02,B1,1,0.014275637455284595,0,0,9,630,49537,0.0,0.0,0.0,0.0
S02_B2_65,smudge,S02,B2,1,0.015275291167199612,0,0,5,634,49537,0.0,0.0,0.0,0.0
S02_B3_068,smudge,S02,B3,1,0.01575431227684021,0,0,18,657,49501,0.0,0.0,0.0,0.0
S02_B4_071,smudge,S02,B4,1,0.013950184918940067,0,0,15,729,49432,0.0,0.0,0.0,0.0
S02_B5_074,smudge,S02,B5,1,0.014539907686412334,0,0,24,700,49452,0.0,0.0,0.0,0.0
S03_B1_63,smudge,S03,B1,1,0.024232935160398483,0,1,173,48,49954,0.008968609865470852,0.0045045045045045045,0.005747126436781609,0.02040816326530612
S03_B2_66,smudge,S03,B2,1,0.022260744124650955,0,1,121,49,50005,0.011627906976744186,0.005847953216374269,0.00819672131147541,0.02
S03_B3_069,smudge,S03,B3,1,0.02308405004441738,0,26,123,66,49961,0.2157676348547718,0.12093023255813953,0.174496644295302,0.2826086956521739
