file,label,view,shot,width,height,megapixels,mean_brightness,dark_clip_percent,bright_clip_percent,sharpness_score,sha256,dhash
S01_B1_061.jpg,S01,B1,061,3000,4000,12.0,80.73,0.0,0.0,356.13,29823289ecfa7a4e12bd71257f326a8d532385d5b5c9b8c4fddb8e2cae1f3235,883190213807788f386334f206ff7ff076683188317cb66c3969059f1ddc1ddc
S01_B2_64.jpg,S01,B2,64,3000,4000,12.0,132.06,0.0,0.0,395.65,be2b567eeba39bbe4bfc53edb60d8bcb1c60faca7a1b4fc8705b5e914d746d6f,8f808f8417c80be061e566e424651b2634e1b3703110a67938d1873e03bd003d
S01_B3_067.jpg,S01,B3,067,3000,4000,12.0,59.95,2.757,0.0,243.72,6a934648fb33a08b370e2b1c88a116fdf48681fa60097745732ffd6b3967b8d1,dc80f900e1c001e101f849ff71f86eb06b6c69ec6a746a74f568800700770073
S01_B4_070.jpg,S01,B4,070,3000,4000,12.0,62.44,1.516,0.0,251.67,efb76b9187682eefd50c82adcb13bd768fe44a9e31a0129e41d4633824fe1d2a,bd44a9a1a8a8e8a9e9a9a96989edfb717cf16be96be96a696a6970d28fffa9ff
S01_B5_073.jpg,S01,B5,073,3000,4000,12.0,129.48,0.306,0.0,226.7,fe19dd912a21955a316b20c0c2b340ddfc6821c6df88943eac81c076577f183b,c000c000c000c000c02803f083fe43e95d6997f7b3f995579577fb694fff0fff
S02_B1_62.jpg,S02,B1,62,3000,4000,12.0,84.68,0.0,0.0,444.45,a1a00a88d5dd1de843d7233fb734eef47f9002ae5a819ef4215e2d77f4ef3408,ad0aa10286233e0a0eef86ff0fff7c786be46b846bd46a6474f8c07f003f0b3d
S02_B2_65.jpg,S02,B2,65,3000,4000,12.0,129.34,0.0,0.0,497.3,89d1ebe3ae14d68c34a9585ad6381fabaaa310725a4ebd38463958e058993302,9448cc8828021440000832306c706be9730948c968f930000858005932d020f1
S02_B3_068.jpg,S02,B3,068,3000,4000,12.0,60.97,3.668,0.0,264.25,86637a43e19a0138220a79a627e1e3bebdb98c718d10029f446b2d471a9cc99c,0159cae0d580fa8083c776786ea46b8469b46ae476e881fec1ff80ff80e70263
S02_B4_071.jpg,S02,B4,071,3000,4000,12.0,64.49,0.833,0.0,304.25,dada9af1df57f6a26e6d84e8e76a9dc9dc3120775529606b5ca19cfb81eb1b95,a4a5e2a966a5248465040585ec90ec70eb69f389cfe9cce8fff013ffabb623bf
S02_B5_074.jpg,S02,B5,074,3000,4000,12.0,126.96,0.27,0.0,261.37,2ca0154f0ea9ee764e1d3ccb15b4e44543875a13615b10358b1b411a0ec4e5cb,800080008000c000412083f063d37cfb136f53cbd3dfd4c7edeb0fff07ff07ff
S03_B1_63.jpg,S03,B1,63,3000,4000,12.0,84.38,0.0,0.008,395.43,75b94c3ab5217b9aae042ef9cf53b18265a6a4ce71542303217b9303e2e59df3,7e0ef646d606cc0ad00b806f70c36ad163136bd368db7ff1413f3c473803301f
S03_B2_66.jpg,S03,B2,66,3000,4000,12.0,127.1,0.0,0.0,488.95,0e3d583d1352a09988718327c31ea6038bc1956d52bcdf07bf87c0f19b42d79c,8a00c47084608a44904e86479a40b668b1c8b5cce64cf848e90ffc9c7e4b3f4b
S03_B3_069.jpg,S03,B3,069,3000,4000,12.0,61.61,1.328,0.0,175.82,ce4c84d0d64bad51ecbd87a37492d84a88a82bc6f8706696c5bf8e00d4e820bd,ea00f900f602918480f441f801fc07f0fcd16b4963096ce968e9e05300ff01c7
S03_B4_072.jpg,S03,B4,072,3000,4000,12.0,63.09,2.721,0.0,211.89,345c6d6f8792697ee155c30fe35b100d77d096a1deb811d86830902959537ecb,c854c810cc50ca504a00ca408b0e72607668798963e962ec77f803ff33eb23ff
S03_B5_075.jpg,S03,B5,075,3000,4000,12.0,128.44,0.699,0.0,241.52,66e73073758ac2293c7ee07a754cefc9f6c568d38028cb43ec320e4d5578a4b0,8000c000c000c000800001e881fc64fb5d6b1397f3fbd5d7d557effb0fff03ff
