physical_id,category,capture_count,detected_capture_count,capture_detection_rate,any_capture_detected,majority_captures_detected,median_image_score,max_image_score
M01,missing_print,5,0,0.0,0,0,0.015512881800532341,0.016070833429694176
M02,missing_print,5,0,0.0,0,0,0.01753605529665947,0.01977546140551567
M03,missing_print,5,0,0.0,0,0,0.016359549015760422,0.02328615076839924
N11,normal,5,1,0.2,1,0,0.018964743241667747,0.031024117022752762
N12,normal,5,0,0.0,0,0,0.021418962627649307,0.02711550146341324
S01,smudge,5,0,0.0,0,0,0.02182740531861782,0.02882431447505951
S02,smudge,5,0,0.0,0,0,0.014539907686412334,0.01575431227684021
S03,smudge,5,0,0.0,0,0,0.02308405004441738,0.025765251368284225
T01,tear,3,2,0.6666666666666666,1,1,0.05112133547663689,0.0707312598824501
T02,tear,5,4,0.8,1,1,0.047862567007541656,0.057445306330919266
T03,tear,5,5,1.0,1,1,0.0526176355779171,0.05786531791090965
