file,category,physical_id,capture_condition,is_anomaly,image_score,image_detected,primary_trigger,trigger_score,dice,iou,recall,tp,fp,fn,tn
N11_B1_51.png,normal,N11,B1,0,0.7077,0,text_smudge,0.7077,1.0,1.0,1.0,0,0,0,690950
N11_B2_53.png,normal,N11,B2,0,0.7369,0,text_smudge,0.7369,0.0,0.0,1.0,0,350,0,690600
N11_B3_55.png,normal,N11,B3,0,0.7328,0,text_smudge,0.7328,0.0,0.0,1.0,0,124,0,690826
N11_B4_57.png,normal,N11,B4,0,0.7426,0,text_smudge,0.7426,0.0,0.0,1.0,0,572,0,690378
N11_B5_59.png,normal,N11,B5,0,0.7857,0,text_smudge,0.7857,0.0,0.0,1.0,0,572,0,690378
N12_B1_52.png,normal,N12,B1,0,0.7943,0,text_smudge,0.7943,0.0,0.0,1.0,0,1012,0,689938
N12_B2_54.png,normal,N12,B2,0,0.7997,0,text_smudge,0.7997,0.0,0.0,1.0,0,1110,0,689840
N12_B3_56.png,normal,N12,B3,0,0.755,0,margin,0.755,0.0,0.0,1.0,0,1094,0,689856
N12_B4_58.png,normal,N12,B4,0,0.8124,0,text_smudge,0.8124,0.0,0.0,1.0,0,1048,0,689902
N12_B5_60.png,normal,N12,B5,0,0.885,0,text_smudge,0.885,0.0,0.0,1.0,0,947,0,690003
M01_B1_091.png,missing_print,M01,B1,1,2.0,1,barcode_missing,2.0,0.844,0.7301,0.7318,94024,310,34455,562161
M01_B2_094.png,missing_print,M01,B2,1,2.0,1,barcode_missing,2.0,0.8308,0.7105,0.7112,91371,118,37108,562353
M01_B3_097.png,missing_print,M01,B3,1,2.0,1,barcode_missing,2.0,0.8338,0.7149,0.7314,93975,2968,34504,559503
M01_B4_100.png,missing_print,M01,B4,1,2.0,1,barcode_missing,2.0,0.8346,0.7161,0.7165,92054,62,36425,562409
M01_B5_103.png,missing_print,M01,B5,1,2.0,1,barcode_missing,2.0,0.7958,0.6609,0.6615,84983,110,43496,562361
M02_B1_092.png,missing_print,M02,B1,1,1.4087,1,text_missing,1.4087,0.3423,0.2065,0.2397,9552,6406,30294,644698
M02_B2_095.png,missing_print,M02,B2,1,1.3964,1,text_missing,1.3964,0.3412,0.2057,0.2398,9557,6619,30289,644485
M02_B3_098.png,missing_print,M02,B3,1,1.3759,1,text_missing,1.3759,0.3387,0.2039,0.239,9522,6856,30324,644248
M02_B4_101.png,missing_print,M02,B4,1,1.4847,1,text_missing,1.4847,0.3435,0.2074,0.2397,9550,6208,30296,644896
M02_B5_104.png,missing_print,M02,B5,1,1.3219,1,text_missing,1.3219,0.3426,0.2067,0.2397,9550,6349,30296,644755
M03_B1_093.png,missing_print,M03,B1,1,1.6421,1,text_missing,1.6421,0.1951,0.1081,0.1111,3926,977,31415,654632
M03_B2_096.png,missing_print,M03,B2,1,1.6118,1,text_missing,1.6118,0.1936,0.1072,0.1111,3926,1295,31415,654314
M03_B3_099.png,missing_print,M03,B3,1,1.5659,1,text_missing,1.5659,0.1931,0.1068,0.1111,3926,1403,31415,654206
